occupation,translated_occupation,label
Globetrotter,Globetrotter,Arts & Culture
Go-Spieler,Go player,Sports
Goalballspieler,Goalball player,Sports
Torwarttrainer,Goalkeeper coach,Sports
Goldgräber,Gold digger,Governance & Society
Goldschmied,Goldsmith,Arts & Culture
Golfarchitekt,Golf architect,Sports
Golftrainer,Golf coach,Sports
Golfspieler,Golfer,Sports
Go-Profi,Go-Professional,Sports
Gourmet,Gourmet,Arts & Culture
Gouvernante,Governess,Governance & Society
Regierungsbaumeister,Government architect,Governance & Society
Regierungsrat,Government Council,Governance & Society
Regierungsdirektor,Government Director,Governance & Society
Regierungssprecher,Government spokesman,Governance & Society
Amtshauptmann,Governor,Governance & Society
Landeshauptmann,Governor,Governance & Society
Gouverneur,Governor,Governance & Society
Diplom-Handelslehrer,Graduate commercial teacher,Academics & Humanities
Diplom-Pädagoge,Graduate pedagogue,Academics & Humanities
Diplom-Physiker,Graduate physicist,STEM
Gräzist,Graecist,Academics & Humanities
Graffiti-Künstler,Graffiti artist,Arts & Culture
Grammatiker,Grammarian,Academics & Humanities
Grafiker,Graphic designer,Arts & Culture
Grafikdesigner,Graphic designer,Arts & Culture
Grafikhändler,Graphics dealer,Arts & Culture
Graphologe,Graphologist,Academics & Humanities
Grasskiläufer,Grass skier,Sports
Totengräber,Gravedigger,Business & Economics
griechisch-katholischer Priester,Greek-Catholic priest,Religion & Philosophy
Trauerbegleitung,Grief counseling,Health & Medicine
Schleifer,Grinder,Unconventional & Misc
Lebensmittelhändler,Grocer,Business & Economics
Stallmeister,Groom,Governance & Society
Hundefrisör,Groomer,Governance & Society
Fraktionsvorsitzender,Group Chairman,Business & Economics
Gruppenpsychotherapeut,Group psychotherapist,Health & Medicine
Wächter,Guardian,Governance & Society
Führer,Guide,Governance & Society
Gitarrenbauer,Guitar maker,Arts & Culture
Gitarrenlehrer,Guitar teacher,Arts & Culture
Gitarrist,Guitarist,Arts & Culture
Büchsenmacher,Gunsmith,STEM
Büchsenmeister,Gunsmith,STEM
Guru,Guru,Religion & Philosophy
Turntrainer,Gymnastics coach,Sports
Gynäkologe,Gynecologist,Health & Medicine
Hacker,Hacker,STEM
Hagiograf,Hagiographer,Religion & Philosophy
Friseur,Hairdresser,Arts & Culture
Hammerwerfer,Hammer thrower,Sports
Handballtrainer,Handball coach,Sports
Handballkommentator,Handball commentator,Sports
Handballtorwart,Handball goalkeeper,Sports
Handballfunktionär,Handball official,Sports
Handballspieler,Handball player,Sports
Handballschiedsrichter,Handball referee,Sports
Handbiker,Handbiker,Sports
Basteln,Handicrafts,Unconventional & Misc
Mundharmonikaspieler,Harmonica player,Arts & Culture
Harfenist,Harpist,Arts & Culture
Cembalobauer,Harpsichord maker,Arts & Culture
Cembalist,Harpsichordist,Arts & Culture
Hutmacher,Hatter,Arts & Culture
Head Coach,Head Coach,Sports
Chef einer diplomatischen Mission,Head of a diplomatic mission,Governance & Society
Behördenleiter,Head of authority,Governance & Society
Abteilungsleiter,Head of department,Governance & Society
Dezernent,Head of department,Governance & Society
Regierungschef,Head of government,Governance & Society
Amtsleiter,Head of office,Governance & Society
Textchef,Head of text,Governance & Society
Ortsvorsteher,Head of town,Governance & Society
Referatsleiter,Head of unit,Governance & Society
Oberlehrer,Head teacher,Academics & Humanities
Heilkundler,Healer,Health & Medicine
Gesundheitsökonom,Health economist,Business & Economics
Gesundheitswissenschaftler,Health scientist,STEM
Gesundheits- und Krankenpfleger,Healthcare and nursing staff,Health & Medicine
Heizungs- und Klimatechnik,Heating and air conditioning technology,STEM
Heizungsbauer,Heating engineer,STEM
Hebraist,Hebraist,Religion & Philosophy
Hedgefonds-Manager,Hedge fund manager,Business & Economics
Helminthologe,Helminthologist,STEM
Steuermann,Helmsman,STEM
Hämatologe,Hematologist,Health & Medicine
Hepatologe,Hepatologist,Health & Medicine
Siebenkämpfer,Heptathlete,Sports
Wappenkünstler,Heraldic artist,Arts & Culture
Heraldiker,Heraldist,Governance & Society
Herpetologe,Herpetologist,STEM
Hauer (Bergbau),Hewer (mining),STEM
Oberkirchenrat,High Church Council,Religion & Philosophy
Turmspringer,High diver,Sports
Hochfrequenztechnik,High frequency technology,Religion & Philosophy
Hochspringer,High jumper,Sports
Gymnasialprofessor,High school professor,Academics & Humanities
Gymnasiallehrer,High school teacher,Academics & Humanities
Hochseilartist,High wire artist,Arts & Culture
Wanderer,Hiker,Sports
Hippologe,Hippologist,STEM
Hispanist,Hispanist,Academics & Humanities
Histologe,Histologist,STEM
Historiker,Historian,Academics & Humanities
Philosophiehistoriker,Historian of philosophy,Academics & Humanities
Wissenschaftshistoriker,Historian of science,Academics & Humanities
Historiker der Arbeiterbewegung,Historians of the labor movement,Academics & Humanities
historischer Geograph,historical geographer,Academics & Humanities
historischer Linguist,historical linguist,Academics & Humanities
Geschichte,History,Academics & Humanities
Geschichtsdidaktiker,History didactics,Academics & Humanities
Historienmaler,History painter,Arts & Culture
Geschichtslehrer,History teacher,Academics & Humanities
Hethitologe,Hittitologist,Academics & Humanities
Hofmeister,Hofmeister,Governance & Society
Holocaustleugner,Holocaust deniers,Governance & Society
Holocaust-Historiker,Holocaust historian,Academics & Humanities
Hauswirtschaftslehrer,Home economics teacher,Academics & Humanities
Heimatpfleger,Home keeper,Business & Economics
Heimarbeiter,Home workers,Business & Economics
Homöopath,Homeopath,Health & Medicine
Ehrenvorsitz,Honorary chairmanship,Governance & Society
Honorarkonsul,Honorary Consul,Governance & Society
ehrenamtlicher Richter,Honorary judge,Law
Ehrenmitglied,Honorary member,Unconventional & Misc
Honorarprofessor,Honorary professor,Academics & Humanities
Hooligan,Hooligan,Unconventional & Misc
Hornist,Horn player,Arts & Culture
Pferdezüchter,Horse breeder,Business & Economics
Pferdewirt,Horseman,Sports
Gartenbauer,Horticulturist,STEM
Krankenhausseelsorge,Hospital chaplaincy,Health & Medicine
Krankenhausdirektor,Hospital Director,Health & Medicine
Spitalangestellter,Hospital employee,Health & Medicine
Krankenhausmanager,Hospital manager,Health & Medicine
Hotelmanager,Hotel manager,Business & Economics
Hotelbesitzer,Hotel owner,Business & Economics
Hotelfachmann,Hotel specialist,Business & Economics
Hausfrau,Housewife,Unconventional & Misc
Humanbiologe,Human biologist,STEM
Humangenetiker,Human geneticist,STEM
Menschenrechtler,Human rights activist,Governance & Society
Humanist,Humanist,Academics & Humanities
Geisteswissenschaftler,Humanities scholar,Academics & Humanities
Humorist,Humorist,Arts & Culture
Hungarologe,Hungarologist,Academics & Humanities
Jäger,Hunter,Unconventional & Misc
Hürdenläufer,Hurdler,Business & Economics
Drehleierspieler,Hurdy-gurdy player,Sports
Hüttenwart,Hut warden,Governance & Society
Wasserbauingenieur,Hydraulic engineer,STEM
Wasserbauer,Hydraulic engineers,STEM
Hydrobiologe,Hydrobiologist,STEM
Hydrograph,Hydrograph,STEM
Hydrologe,Hydrologist,STEM
Hygienefachkraft,Hygiene specialist,Health & Medicine
Hygieniker,Hygienist,Health & Medicine
Hymenopterologe,Hymenopterologist,STEM
Kirchenlieddichter,Hymn writer,Arts & Culture
Hymnologe,Hymnologist,Arts & Culture
Hypnotherapeut,Hypnotherapist,Health & Medicine
Speiseeishersteller,Ice cream manufacturer,Business & Economics
Eistänzer,Ice dancer,Arts & Culture
Eishockeytrainer,Ice hockey coach,Sports
Eishockeytorwart,Ice hockey goalkeeper,Sports
Eishockeyspieler,Ice hockey player,Sports
Ichthyologe,Ichthyologist,STEM
Ikonograph,Iconographer,Arts & Culture
Idist,Idist,Business & Economics
Illusionist,Illusionist,Arts & Culture
Illustrator,Illustrator,Arts & Culture
Imam,Imam,Religion & Philosophy
Imitator,Imitator,Unconventional & Misc
Immunologe,Immunologist,Health & Medicine
Unparteiischer,Impartial,Law
Reichsgerichtsrat,Imperial Court of Justice,Law
Hochstapler,Impostor,Unconventional & Misc
Impresario,Impresario,Arts & Culture
Improvisator,Improviser,Arts & Culture
Indian Civil Service,Indian Civil Service,Governance & Society
Indogermanist,Indo-Europeanist,Academics & Humanities
Indologe,Indologist,Academics & Humanities
Indonesist,Indonesianist,Academics & Humanities
Industriechemiker,Industrial chemist,STEM
Industriekaufmann,Industrial clerk,Business & Economics
Industriedesigner,Industrial designer,Arts & Culture
Wirtschaftsingenieur,Industrial engineer,STEM
Industriemeister,Industrial foreman,STEM
Industriemechaniker,Industrial mechanic,STEM
Arbeitswissenschaftler,Industrial scientist,STEM
Industrieller,Industrialist,Business & Economics
Industriemanager,Industry manager,Business & Economics
Infanterist,Infantryman,Governance & Society
Infektiologe,Infectiologist,Health & Medicine
Influencer,Influencer,Arts & Culture
Informant,Informant,Governance & Society
Informationselektroniker,Information electronics technician,STEM
Informationswissenschaftler,Information scientist,STEM
Informationstechniker,Information technician,STEM
ingénieur des eaux et forêts,ingénieur des eaux et forêts,STEM
Syndikus,In-house counsel,Governance & Society
Inline-Speedskater,Inline speed skaters,Sports
Gastwirt,Innkeeper,Business & Economics
Insektenhändler,Insect dealer,Business & Economics
Insolvenzverwaltung,Insolvency administration,Governance & Society
Inspektor,Inspector,Business & Economics
Installationskünstler,Installation artist,Arts & Culture
Truppenfachlehrer,Instructor,Governance & Society
Ausbilder,Instructor,STEM
Instrumentenbauer,Instrument maker,Arts & Culture
Instrumentalmusiker,Instrumental musician,Arts & Culture
Versicherungsvertreter,Insurance agent,Business & Economics
Versicherungsmakler,Insurance broker,Business & Economics
Versicherungsmanager,Insurance manager,Business & Economics
Versicherungsfachmann,Insurance specialist,Business & Economics
Intellektueller,Intellectual,Academics & Humanities
Geheimdienstoffizier,Intelligence officer,Governance & Society
Intendant,Intendant,Governance & Society
Interessenverband,Interest group,Governance & Society
Raumausstatter,Interior decorator,Arts & Culture
Innenarchitekt,Interior designer,Arts & Culture
Interlinguist,Interlinguist,Academics & Humanities
Internationale Brigaden,International brigades,Governance & Society
Völkerrechtler,International law expert,Law
Internetpersönlichkeit,Internet personality,Arts & Culture
Internist,Internist,Health & Medicine
Dolmetscher,Interpreter,Arts & Culture
Interviewer,Interviewer,Arts & Culture
Intimitätskoordinator,Intimacy coordinator,Arts & Culture
Erfinder,Inventor,STEM
Investigativreporter,Investigative reporter,Unconventional & Misc
Anlageberatung,Investment advice,Unconventional & Misc
Investmentbanker,Investment banker,Governance & Society
Iranist,Iranian,Academics & Humanities
Eisenarbeiter,Ironworker,Business & Economics
islamischer Fundamentalist,Islamic fundamentalist,Religion & Philosophy
Islamwissenschaftler,Islamic scholar,Academics & Humanities
IT-Berater,IT consultant,STEM
IT-Projektleiter,IT project manager,STEM
Fachinformatiker,IT specialist,STEM
IT-Spezialist,IT specialist,STEM
IT-Systemkaufmann,IT systems administrator,STEM
IT-Techniker,IT technician,STEM
Italianist,Italianist,Academics & Humanities
It-Girl,It-Girl,Arts & Culture
Elfenbeinschnitzer,Ivory carver,Arts & Culture
Hausmeister,Janitor,Business & Economics
Japanologe,Japanologist,Academics & Humanities
Speerwerfer,Javelin thrower,Sports
Jazz-Bassist,Jazz bassist,Arts & Culture
Jazz-Klarinettist,Jazz clarinettist,Arts & Culture
Jazz-Schlagzeuger,Jazz drummer,Arts & Culture
Jazz-Gitarrist,Jazz guitarist,Arts & Culture
Jazzmusiker,Jazz musician,Arts & Culture
Jazzmusiker in Deutschland,Jazz musicians in Germany,Arts & Culture
Jazzpianist,Jazz pianist,Arts & Culture
Jazz-Saxophonist,Jazz saxophonist,Arts & Culture
Jazzsänger,Jazz singer,Arts & Culture
Jazztrompeter,Jazz trumpeter,Arts & Culture
Jazz-Geiger,Jazz violinist,Arts & Culture
Juwelier,Jeweler,Arts & Culture
Schmuckdesigner,Jewelry designer,Arts & Culture
Jockey,Jockey,Sports
Publizistikwissenschaft,Journalism Studies,Academics & Humanities
Journalist,Journalist,Arts & Culture
Judaist,Judaist,Academics & Humanities
Richter,Judge,Law
Richter am Bundesverwaltungsgericht,Judge at the Federal Administrative Court,Law
Richter am Landgericht,Judge at the Regional Court,Law
Richter des Bundesverfassungsgerichts,Judge of the Federal Constitutional Court,Law
Judotrainer,Judo coach,Sports
Judoka,Judoka,Sports
Gaukler,Juggler,Arts & Culture
Jongleur,Juggler,Arts & Culture
Juniorprofessur,Junior professorship,Academics & Humanities
Rechtswissenschaft,Jurisprudence,Law
Friedensrichter,Justice of the Peace,Law
Jugendrichter,Juvenile court judge,Law
Kaplan,Kaplan,Religion & Philosophy
Kapo,Kapo,Governance & Society
Karateka,Karateka,Sports
Kajakfahrer,Kayaker,Sports
Keyboarder,Keyboarder,Arts & Culture
Hauptredner,Keynote speaker,Governance & Society
Chasan,Khazan,Governance & Society
Kickboxer,Kickboxer,Sports
Kindergartenlehrer,Kindergarten teacher,Academics & Humanities
Kindergärtner,Kindergarten teacher,Academics & Humanities
Kinesiotherapeut,Kinesiotherapist,Health & Medicine
Königsgemahlin,King's Wife,Governance & Society
Kitesurfer,Kitesurfer,Sports
Klingonist,Klingonist,Academics & Humanities
Ritter,Knight,Governance & Society
Koreanist,Koreanist,Academics & Humanities
Kreuzkantor,Kreuzkantor,"Religion & Philosophy, Arts & Culture"
Labelbetreiber,Label operator,Arts & Culture
Arbeitsökonom,Labor economist,Business & Economics
Laborant,Laboratory technician,STEM
Klöppler,Lace maker,Arts & Culture
Lacrossespieler,Lacrosse player,Sports
Hofdame,Lady-in-waiting,Governance & Society
Land-Art-Künstler,Land art artist,Arts & Culture
Gutsbesitzer,Landowner,Business & Economics
Grundbesitzer,Landowner,Business & Economics
Landschaftsarchitekt,Landscape architect,Arts & Culture
Landschaftsdirektor,Landscape Director,STEM
Landschaftsökologe,Landscape ecologist,STEM
Landschaftsgärtner,Landscape gardener,Arts & Culture
Landschaftsmaler,Landscape painter,Arts & Culture
Landsmannschaft der Banater Schwaben,Landsmannschaft of the Banater Swabians,Governance & Society
Sprachmittler,Language mediator,Governance & Society
Sprachlehrer,Language teacher,Academics & Humanities
Großunternehmen,Large companies,Business & Economics
Großgrundbesitzer,Large landowners,Business & Economics
Laryngologe,Laryngologist,Health & Medicine
Latinist,Latinist,Academics & Humanities
Rechtsbibliothekar,Law librarian,"Law, Academics & Humanities"
Rechtsanwalt,Lawyer,Law
Jurist,Lawyer,Law
Anwalt,Lawyer,Law
Laienbruder,Lay brother,Religion & Philosophy
Laienprediger,Lay preacher,Religion & Philosophy
Skontroführer,Lead broker,Business & Economics
Anführer,Leader,Governance & Society
Lerntherapeut,Learning therapist,Health & Medicine
Dozent,Lecturer,Academics & Humanities
Lehrbeauftragter,Lecturer,Academics & Humanities
Lecturer,Lecturer,Academics & Humanities
Vortragsredner,Lecturer,Academics & Humanities
Linksextremist,Left-wing extremist,Governance & Society
Rechtsberater,Legal advisor,Law
Rechtsanwalts- und Notarfachangestellter,Legal and notary assistant,Law
Rechtsreferendar,Legal clerk,Law
Rechtsbeistand,Legal counsel,Law
Rechtshistoriker,Legal historian,"Academics & Humanities, Law"
Gesetzlicher Vertreter,Legal representative,Law
Rechtswissenschaftler,Legal scholar,Law 
Legationsrat,Legation Council,Law
Objektiv-Konstrukteur,Lens designer,STEM
Lepidopterologe,Lepidopterist,STEM
Briefkorrespondent,Letter correspondent,Governance & Society
Buchdrucker,Letterpress printer,Arts & Culture
Buchdruckforscher,Letterpress researcher,Academics & Humanities
Lexikograf,Lexicographer,Academics & Humanities
Lexikologe,Lexicologist,Academics & Humanities
LGBT-Aktivist,LGBT activist,Governance & Society
Libertin,Libertine,Governance & Society
Bibliothekar,Librarian,Academics & Humanities
Bibliothekswissenschaftler,Library scientist,STEM
Librettist,Librettist,Arts & Culture
Lichenologe,Lichenologist,STEM
Generalleutnant,Lieutenant General,Governance & Society
Lebensberatung,Life counseling,Health & Medicine
Rettungsschwimmer,Lifeguard,Health & Medicine
Lichtkünstler,Light artist,Arts & Culture
Lichtgestalter,Lighting designer,Arts & Culture
Limnologe,Limnologist,STEM
Leineweber,Linen weaver,Arts & Culture
Linienrichter,Linesman,Sports
Linguist,Linguist,Academics & Humanities
Literat,Literary,Academics & Humanities
Literaturagent,Literary agent,Arts & Culture
Literaturkritiker,Literary critic,Arts & Culture
Literaturhistoriker,Literary historian,Academics & Humanities
Literaturwissenschaftler,Literary scholar,Academics & Humanities
Literaturtheoretiker,Literary theorist,"Academics & Humanities, Arts & Culture"
Literaturübersetzer,Literary translator,"Academics & Humanities, Arts & Culture"
Lithograf,Lithographer,Arts & Culture
Liturgiker,Liturgist,Religion & Philosophy
Llullist,Llullist,Religion & Philosophy
Lobbyist,Lobbyist,Business & Economics
Heimatforscher,Local historian,Academics & Humanities
Kommunalpolitiker,Local politicians,Governance & Society
Heimatschriftsteller,Local writer,Arts & Culture
Schlosser,Locksmith,STEM
Lokomotivkonstrukteur,Locomotive designer,STEM
Logiker,Logician,Academics & Humanities
Logistiker,Logistician,Business & Economics
Weitspringer,Long jumper,Sports
Langstreckenrallyefahrer,Long-distance rally driver,Sports
Langstreckenläufer,Long-distance runner,Sports
Lord Mayor,Lord Mayor,Governance & Society
Oberbürgermeister,Lord Mayor,Governance & Society
Gutsherr,Lord of the manor,Governance & Society
Oberpräsident,Lord President,Governance & Society
Rennrodler,Luge,Sports
Holzfäller,Lumberjack,Business & Economics
Lusitanist,Lusitanianist,Academics & Humanities
Lautenist,Lutenist,Arts & Culture
lutherischer Pfarrer,Lutheran pastor,Religion & Philosophy
Liedtexter,Lyricist,Arts & Culture
Automateneinrichter,Machine setter,STEM
Maschinenschlosser,Machinist,STEM
Wahnsinn,Madness,Unconventional & Misc
Zauberkünstler,Magician,Religion & Philosophy
Magistratsbeamter,Magistrate,Governance & Society
Magnetaufzeichnung,Magnetic recording,STEM
Magd,Maid,Business & Economics
Hausmädchen,Maid,Business & Economics
Mail-Art-Künstler,Mail Art Artist,Arts & Culture
Generalmajor,Major General,Governance & Society
Maskenbildner,Make-up artist,Arts & Culture
Malakologe,Malacologist,STEM
Mammaloge,Mammalogist,STEM
Geschäftsführung,Management,Business & Economics
Vorstand,Management Board,Business & Economics
Unternehmensberater,Management consultant,Business & Economics
Führungskraft,Manager,Business & Economics
Manager,Manager,Business & Economics
Leiter,Manager,Business & Economics
Geschäftsführer,Managing Director,Business & Economics
managing director,managing director,Business & Economics
geschäftsführender Direktor,Managing Director,Business & Economics
Mandolinist,Mandolinist,Arts & Culture
Mangaka,Mangaka,Arts & Culture
Handarbeiter,Manual laborer,Business & Economics
Fabrikant,Manufacturer,Business & Economics
Marathonläufer,Marathon runner,Sports
Markgraf,Margrave,Governance & Society
Meeresbiologe,Marine biologist,STEM
Meeresökologe,Marine ecologist,STEM
Meeresgeologe,Marine geologist,STEM
Marinemaler,Marine painter,Arts & Culture
Meereswissenschaftler,Marine scientist,STEM
Marktforscher,Market researcher,Business & Economics
Marketer,Marketer,Business & Economics
Marketingmanagement,Marketing management,Business & Economics
Markscheider,Marksman,STEM
Marschall,Marshal,Governance & Society
Kampfsportler,Martial artist,Arts & Culture
marxistischer Historiker,Marxist historian,Academics & Humanities
Freimaurerloge,Masonic Lodge,Governance & Society
Mauerwerk,Masonry,Religion & Philosophy
Massenmörder,Mass murderer,Unconventional & Misc
Braumeister,Master brewer,Business & Economics
Baumeister,Master builder,STEM
Herrenmeister,Master craftsman,Governance & Society
Handwerksmeister,Master craftsman,Business & Economics
Wiesenbaumeister,Master meadow builder,STEM
Zeremonienmeister,Master of ceremonies,Governance & Society
Mastering Engineer,Mastering Engineer,STEM
Materialwissenschaftler,Material scientist,STEM
Werkstoffprüfer,Material tester,STEM
Materialwissenschaft,Materials science,STEM
Mathematiklehrer,Math teacher,STEM
Mathematiker,Mathematician,STEM
Mathematikhistoriker,Mathematics historian,STEM
Bürgermeister,Mayor,Governance & Society
Stadtpräsident,Mayor,Governance & Society
Bürgermeister von Lübeck,Mayor of Lübeck,Governance & Society
Samtgemeindebürgermeister,Mayor of the joint municipality,Governance & Society
Bürgermeister in Deutschland,Mayors in Germany,Governance & Society
Maître de Conférences,Maître de Conférences,Governance & Society
Messgehilfe,Measuring assistant,STEM
Mechaniker,Mechanic,STEM
Maschinenbauingenieur,Mechanical engineer,STEM
Maschinenbautechniker,Mechanical engineer,STEM
Mechatroniker/-in,Mechatronics technician,STEM
Medailleur,Medalist,Arts & Culture
Medienkünstler,Media artist,Arts & Culture
Medieninformatiker,Media computer scientist,STEM
Medienkritiker,Media critic,Arts & Culture
Medienpädagogik,Media education,Academics & Humanities
Medienpädagoge,Media educator,Academics & Humanities
Medienunternehmer,Media entrepreneur,Business & Economics
Medienhistoriker,Media historian,Academics & Humanities
Medienjournalist,Media journalist,Arts & Culture
Medienmanager,Media manager,"Business & Economics, Arts & Culture"
Medienwissenschaftler,Media scientist,STEM
Mediator,Mediator,"Law, Governance & Society"
Medizinischer Fachangestellter,Medical assistant,Health & Medicine
medizinischer Autor,medical author,Health & Medicine
Medizin-Informatiker,Medical computer scientist,STEM
Medizincontroller,Medical controller,Health & Medicine
ärztlicher Direktor,Medical Director,Health & Medicine
Medizinethik,Medical ethics,Health & Medicine
medizinischer Sachverständiger,Medical expert,Health & Medicine
Medizinhistoriker,Medical historian,"Academics & Humanities, Health & Medicine"
Sanitätsoffizier,Medical officer,Health & Medicine
Amtsarzt,Medical officer,Health & Medicine
medizinischer Wissenschaftler,medical scientist,"STEM, Health & Medicine"
Medizinwissenschaftler,Medical scientist,STEM
Medizinsoziologe,Medical sociologist,Health & Medicine
Medizinstudent,Medical student,Health & Medicine
Medizintechniker,Medical technician,Health & Medicine
Medizinisch-technischer Assistent,Medical-technical assistant,Health & Medicine
Medizinmann,Medicine man,Health & Medicine
Mittelalterarchäologe,Medieval archaeologist,Academics & Humanities
Mittelalterhistoriker,Medieval historian,Academics & Humanities
Mediävist,Medievalist,Academics & Humanities
Medium,Medium,Religion & Philosophy
Mitglied einer Königsfamilie,Member of a royal family,Governance & Society
Landtagsabgeordneter,Member of Parliament,Governance & Society
Abgeordneter,Member of Parliament,Governance & Society
Mitglied des Verwaltungsrats,Member of the Board of Directors,Business & Economics
Mitglied des Deutschen Bundestages,Member of the German Bundestag,Governance & Society
Mitglied der Hamburgischen Bürgerschaft,Member of the Hamburg Parliament,Governance & Society
Mitglied des Gemeinderats,Member of the municipal council,Governance & Society
Mitglied der Staatsduma,Member of the State Duma,Governance & Society
Mitglied des Aufsichtsrates,Member of the Supervisory Board,Governance & Society
Memoirenschreiber,Memoirist,Academics & Humanities
Gedächtnissportler,Memory athletes,Sports
Mentalist,Mentalist,Health & Medicine
Söldner,Mercenary,Governance & Society
Kaufmann,Merchant,Business & Economics
Naturalienhändler,Merchant in kind,Business & Economics
Bote,Messenger,Governance & Society
Metallgießer,Metal caster,STEM
Metallbau,Metal construction,STEM
Metallbildner,Metal former,STEM
Metallbildhauer,Metal sculptor,Arts & Culture
Metal-Sänger,Metal singer,Arts & Culture
Metallblasinstrumentenmacher,Metal wind instrument maker,Arts & Culture
Metallurg,Metallurgist,STEM
Metallschmied,Metalsmith,Business & Economics
Meteorologe,Meteorologist,STEM
methodistischer Bischof,Methodist bishop,Religion & Philosophy
Methodistischer Pastor,Methodist pastor,Religion & Philosophy
Metriker,Metrician,STEM
Mezzosopranist,Mezzo-soprano,Arts & Culture
Mezzotintostecher,Mezzotint engraver,Arts & Culture
Mikrobiologe,Microbiologist,STEM
Mikropaläontologe,Micropaleontologist,STEM
Mikroskopiker,Microscopist,STEM
Mittelstreckenläufer,Middle distance runner,Sports
Hebamme,Midwife,Health & Medicine
Wanderarbeiter,Migrant workers,Governance & Society
Migrationsforscher,Migration researcher,Academics & Humanities
Militant,Militant,Governance & Society
Militär,Military,Governance & Society
Militärberater,Military advisor,Governance & Society
Militärattaché,Military attaché,Governance & Society
Militärbischof,Military Bishop,Governance & Society
Militärbischof für die Bundeswehr,Military bishop for the Bundeswehr,Governance & Society
Militärgeistlicher,Military chaplain,Governance & Society
Militärarzt,Military doctor,Health & Medicine
Wehrwirtschaftsführer,Military economist,Governance & Society
Militärökonom,Military economist,Governance & Society
Militäringenieur,Military engineer,STEM
Militärgouverneur,Military Governor,Governance & Society
Militärhistoriker,Military historian,"Academics & Humanities, Governance & Society"
Militärjurist,Military lawyer,Governance & Society
Militärmusiker,Military musicians,Arts & Culture
Militärpilot,Military pilot,Governance & Society
Dienstgrad beim Militär,Military rank,Governance & Society
Militärwissenschaftler,Military scientist,STEM
Wehrdienstleistender,Military service,Governance & Society
Wehrdienst,Military service,Governance & Society
Militärtheoretiker,Military theorist,Governance & Society
Militärschriftsteller,Military writer,Governance & Society
Mühlenkundler,Mill scientist,STEM
Müller,Miller,Business & Economics
Mühlenbauer,Millwright,Business & Economics
Bergmann,Miner,Business & Economics
Mineraloge,Mineralogist,STEM
Miniaturmaler,Miniature painter,Arts & Culture
Miniaturist,Miniaturist,Arts & Culture
Bergbauingenieur,Mining engineer,STEM
Bergbeamter,Mining official,Governance & Society
Montanwissenschaftler,Mining scientist,STEM
Minister,Minister,Governance & Society
Kulturminister,Minister of Culture,Governance & Society
Verteidigungsminister,Minister of Defense,Governance & Society
Bildungsminister,Minister of Education,Governance & Society
Finanzminister,Minister of Finance,Governance & Society
Justizminister,Minister of Justice,Governance & Society
Staatsminister,Minister of State,Governance & Society
Innenminister,Minister of the Interior,Governance & Society
Ministeriale,Ministerial,Arts & Culture
Ministerialrat,Ministerial Councillor,Governance & Society
Ministerialdirektor,Ministerial Director,Governance & Society
Ministerialdirigent,Ministerial Director,Governance & Society
Ministerialbeamter,Ministerial official,Governance & Society
Ministerium für Staatssicherheit,Ministry for State Security,Governance & Society
Spielmann,Minstrel,Arts & Culture
Münzmeister,Mint master,Business & Economics
Missionswissenschaftler,Mission scientist,STEM
Missionar,Missionary,Religion & Philosophy
Missionsarzt,Missionary doctor,Health & Medicine
Missionslehrer,Missionary teacher,Academics & Humanities
Mistress of the Robes,Mistress of the Robes,Governance & Society
Mixed-Martial-Arts-Kämpfer,Mixed martial arts fighter,Sports
Mischtechnik-Künstler,Mixed media artist,Arts & Culture
Model,Model,Arts & Culture
Modellbauer,Model maker,STEM
Modelleisenbahner,Model railroader,STEM
Modelleur,Modeller,Arts & Culture
Moderator,Moderator,Academics & Humanities
Neuzeithistoriker,Modern historian,Academics & Humanities
Moderner Fünfkämpfer,Modern pentathlete,Sports
Modist,Modist,Arts & Culture
Molekularbiologe,Molecular biologist,STEM
Monarch,Monarch,Governance & Society
Mongolist,Mongolian,Academics & Humanities
Mönch,Monk,Religion & Philosophy
Denkmalpfleger,Monument conservator,Arts & Culture
Moraltheologe,Moral theologian,Religion & Philosophy
Bestatter,Mortician,Health & Medicine
Mosaizist,Mosaicist,Arts & Culture
Motivationstrainer,Motivational coach,Sports
Motocrossfahrer,Motocross rider,Sports
Motorbootsportler,Motorboat sportsmen,Sports
Motorradhersteller,Motorcycle manufacturer,STEM
Motorradrennfahrer,Motorcycle racer,Sports
Motorradfahrer,Motorcyclist,Sports
Mountainbiker,Mountain biker,Sports
Berghauptmann,Mountain captain,Business & Economics
Bergführer,Mountain guide,Sports
Bergretter,Mountain rescuers,Governance & Society
Bergläufer,Mountain runner,Sports
Bergsteiger,Mountaineer,Sports
Mund-,Mouth,Unconventional & Misc
Mehrautorenschaft,Multi-authorship,Unconventional & Misc
Multiinstrumentalist,Multi-instrumentalist,Arts & Culture
Multimedia-Künstler,Multimedia artist,Arts & Culture
Kommunalverwaltung,Municipal administration,Governance & Society
Gemeinderat,Municipal council,Governance & Society
Gemeindedirektor (Niedersachsen),Municipal director (Lower Saxony),Governance & Society
Stadtrichter,Municipal judge,Law
Kommunalbeamter,Municipal official,Governance & Society
Mörder,Murderer,Unconventional & Misc
Museologe,Museologist,Arts & Culture
Museumspädagoge,Museum educator,Academics & Humanities
Musher,Musher,Sports
Musikkritiker,Music critic,Arts & Culture
